,Cp,Ct,Ce,Rate
374,3.071948621080433,3,2.99787448022897,0.24486966817632877
375,3.0951516869602043,3,2.9984374436994408,0.24486966817632877
376,3.118070165719418,3,2.9991724719482225,0.24486966817632877
377,3.083361160235152,3,3.0000760944208835,0.0
378,3.04909146212182,3,3.0007090609210723,0.0
379,3.015255456611863,3,3.001076767170198,0.0
380,2.981847600755054,3,3.0011845252099545,0.0
381,2.9488624224998414,3,3.001037564584097,0.0
382,2.916294519786445,3,3.0006410335042566,0.0
383,2.884138559651549,3,3.000000000000001,0.0
384,2.9084331598561937,3,2.9991194530533525,0.23930737832513332
385,2.932428837991266,3,2.998430237225054,0.23930737832513332
386,2.9561294071501205,3,2.9979286265908773,0.23930737832513332
387,2.979538631661049,3,2.9976109525231274,0.23930737832513332
388,3.002660227711055,3,2.9974736028845754,0.23930737832513332
389,3.025497863961649,3,2.9975130212332566,0.23930737832513332
390,3.048055162156767,3,2.997725706037992,0.23930737832513332
391,3.0703356977229133,3,2.9981082099044944,0.23930737832513332
392,3.0923430003616232,3,2.998657138811914,0.23930737832513332
393,3.1140805546343504,3,2.999369151359692,0.23930737832513332
394,3.0795079180281313,3,3.000240958024579,0.0
395,3.0453727715475645,3,3.000843386920606,0.0
396,3.0116695237435347,3,3.0011818102437706,0.0
397,2.9783926546859054,3,3.0012615168663688,0.0
398,2.945536715048676,3,3.001087713513797,0.0
399,2.9130963252068476,3,3.000665525925462,0.0
400,3.8022441200412653,5,3.0000000000000004,3.933429828123756
401,4.680284587144015,5,3.006097055312314,3.933429828123756
402,5.547359561183101,5,3.0188208805542347,3.933429828123756
403,6.403609062776408,5,3.0380377745270137,3.933429828123756
404,7.249171321696121,5,3.063616116317709,3.933429828123756
405,8.084182799776311,5,3.0954263358785847,3.933429828123756
406,8.90877821352752,5,3.1333408850042073,3.933429828123756
407,9.723090556462045,5,3.177234208700984,3.933429828123756
408,10.527251121133661,5,3.226982716943968,3.933429828123756
409,11.321389520895405,5,3.2824647568158096,3.933429828123756
410,11.184455765682637,5,3.3435605850228143,0.0
411,11.04926644413217,5,3.4031513883958286,0.0
412,10.91579924928215,5,3.4612618628194247,0.0
413,10.784032159505989,5,3.5179163469565418,0.0
414,10.653943434862478,5,3.5731388271319173,0.0
415,10.525511613492565,5,3.6269529421506697,0.0
416,10.398715508062246,5,3.6793819880528673,0.0
417,10.273534202250945,5,3.7304489228049387,0.0
418,10.149947047284815,5,3.780176370928729,0.0
419,10.02793365851439,5,3.828586628069035,0.0
420,9.907473912036002,5,3.8757016655004195,0.0
421,9.788547941356425,5,3.9215431345740894,0.0
422,9.67113613410019,5,3.9661323711056355,0.0
423,9.555219128758996,5,4.0094903997043945,0.0
424,9.440777811482734,5,4.051637938045209,0.0
425,9.327793312911524,5,4.092595401083334,0.0
426,9.2162470050483,5,4.132382905213228,0.0
427,9.106120498171398,5,4.171020272371973,0.0
428,8.997395637786616,5,4.20852703408805,0.0
429,8.89005450161829,5,4.244922435476159,0.0
430,8.784079396638843,5,4.280225439178839,0.0
431,8.679452856136331,5,4.314454729255535,0.0
432,8.576157636819511,5,4.3476287150198285,0.0
433,8.474176715959922,5,4.379765534825506,0.0
434,8.37349328857054,5,4.410883059802127,0.0
435,8.274090764620514,5,4.440998897540767,0.0
436,8.175952766285533,5,4.470130395730572,0.0
437,8.079063125233363,5,4.498294645746789,0.0
438,7.983405879944112,5,4.525508486190887,0.0
439,7.888965273064761,5,4.551788506383412,0.0
440,7.795725748797554,5,4.57715104981019,0.0
441,7.7036719503217705,5,4.601612217522494,0.0
442,7.612788717248505,5,4.625187871491768,0.0
443,7.523061083107979,5,4.647893637919519,0.0
444,7.434474272869011,5,4.669744910502952,0.0
445,7.347013700490207,5,4.690756853656933,0.0
446,7.260664966502483,5,4.7109444056928655,0.0
447,7.175413855622506,5,4.730322281955019,0.0
448,7.091246334396662,5,4.748904977914891,0.0
449,7.008148548875168,5,4.766706772224152,0.0
450,6.926106822315925,5,4.7837417297266995,0.0
451,6.845107652917754,5,4.8000237044303775,0.0
452,6.765137711582623,5,4.815566342438881,0.0
453,6.686183839706494,5,4.830383084844373,0.0
454,6.608233046998438,5,4.844487170581325,0.0
455,6.5312725093276365,5,4.857891639242095,0.0
456,6.455289566597935,5,4.870609333854745,0.0
457,6.380271720649576,5,4.882652903623593,0.0
458,6.30620663318777,5,4.89403480663299,0.0
459,6.233082123737778,5,4.904767312514807,0.0
460,6.160886167626132,5,4.914862505080101,0.0
461,6.089606893987697,5,4.924332284915451,0.0
462,6.019232583798209,5,4.933188371944399,0.0
463,5.949751667931996,5,4.941442307954489,0.0
464,5.881152725244538,5,4.949105459090317,0.0
465,5.813424480679548,5,4.956189018313089,0.0
466,5.746555803400271,5,4.962704007827074,0.0
467,5.68053570494469,5,4.9686612814734294,0.0
468,5.615353337404332,5,4.974071527091811,0.0
469,5.550997991626352,5,4.978945268850186,0.0
470,5.487459095438645,5,4.983292869543285,0.0
471,5.424726211897629,5,4.98712453286009,0.0
472,5.3627890375584695,5,4.990450305620775,0.0
473,5.301637400767417,5,4.993280079983501,0.0
474,5.241261259975985,5,4.995623595621459,0.0
475,5.181650702076704,5,4.997490441870553,0.0
476,5.122795940760155,5,4.998890059848119,0.0
477,5.064687314893019,5,4.99983174454305,0.0
